method,csi_nmse,sinr_degradation_db,hsr_degradation_pct,effective_sinr_db,effective_hsr_pct,reference_speed_kmh,doppler_hz_120kmh
Agent Loop + MARL,0.01,0.31,0.57,21.69,96.43,70,3111
Agent Loop + MARL,0.05,1.62,1.89,20.38,95.11,70,3111
Agent Loop + MARL,0.1,2.62,2.37,19.38,94.63,70,3111
Agent Loop + MARL,0.2,5.15,3.61,16.85,93.39,70,3111
Agent Loop + MARL,0.3,7.18,7.57,14.82,89.43,70,3111
Agent Loop + MARL,0.5,11.09,13.24,10.91,83.76,70,3111
MARL Only,0.01,1.29,0.47,20.71,96.53,70,3111
MARL Only,0.05,2.52,1.48,19.48,95.52,70,3111
MARL Only,0.1,3.83,2.91,18.17,94.09,70,3111
MARL Only,0.2,7.05,8.27,14.95,88.73,70,3111
MARL Only,0.3,10.11,12.07,11.89,84.93,70,3111
MARL Only,0.5,15.08,19.95,6.92,77.05,70,3111
Single-Agent RL,0.01,1.22,1.56,20.78,95.44,70,3111
Single-Agent RL,0.05,3.31,2.51,18.69,94.49,70,3111
Single-Agent RL,0.1,4.89,5.11,17.11,91.89,70,3111
Single-Agent RL,0.2,9.69,10.03,12.31,86.97,70,3111
Single-Agent RL,0.3,13.95,16.09,8.05,80.91,70,3111
Single-Agent RL,0.5,18.01,25.25,3.99,71.75,70,3111
Static RIS,0.01,0.95,1.03,21.05,95.97,70,3111
Static RIS,0.05,2.98,2.69,19.02,94.31,70,3111
Static RIS,0.1,6.32,6.79,15.68,90.21,70,3111
Static RIS,0.2,11.76,12.73,10.24,84.27,70,3111
Static RIS,0.3,16.08,19.73,5.92,77.27,70,3111
Static RIS,0.5,20.74,30.07,1.26,66.93,70,3111
Conventional HO,0.01,1.5,1.8,20.5,95.2,70,3111
Conventional HO,0.05,3.3,4.2,18.7,92.8,70,3111
Conventional HO,0.1,7.19,7.89,14.81,89.11,70,3111
Conventional HO,0.2,12.86,15.65,9.14,81.35,70,3111
Conventional HO,0.3,18.42,22.3,3.58,74.7,70,3111
Conventional HO,0.5,24.19,35.07,0,61.93,70,3111
