method,speed_kmh,handover_success_rate_pct,handover_failure_rate_pct,num_handovers,rlf_count
Agent Loop + MARL,30,99.24,0.76,5000,37
Agent Loop + MARL,50,99.33,0.67,5000,33
Agent Loop + MARL,70,97.71,2.29,5000,114
Agent Loop + MARL,90,95.98,4.02,5000,201
Agent Loop + MARL,110,94.46,5.54,5000,276
Agent Loop + MARL,120,94.95,5.05,5000,252
MARL Only,30,95.91,4.09,5000,204
MARL Only,50,96.48,3.52,5000,176
MARL Only,70,93.48,6.52,5000,325
MARL Only,90,91.98,8.02,5000,401
MARL Only,110,88.51,11.49,5000,574
MARL Only,120,85.9,14.1,5000,705
Single-Agent RL,30,94.87,5.13,5000,256
Single-Agent RL,50,92.07,7.93,5000,396
Single-Agent RL,70,89.59,10.41,5000,520
Single-Agent RL,90,83.38,16.62,5000,831
Single-Agent RL,110,78.57,21.43,5000,1071
Single-Agent RL,120,73.95,26.05,5000,1302
Static RIS,30,90.34,9.66,5000,482
Static RIS,50,88.03,11.97,5000,598
Static RIS,70,81.79,18.21,5000,910
Static RIS,90,73.78,26.22,5000,1311
Static RIS,110,65.65,34.35,5000,1717
Static RIS,120,60.77,39.23,5000,1961
Conventional HO,30,87.83,12.17,5000,608
Conventional HO,50,84.0,16.0,5000,799
Conventional HO,70,73.8,26.2,5000,1310
Conventional HO,90,65.4,34.6,5000,1730
Conventional HO,110,56.92,43.08,5000,2154
Conventional HO,120,50.49,49.51,5000,2475
