latency_ms,cdf_probability
0.310301,2.6e-05
0.311957,0.002006
0.312283,0.004013
0.312515,0.006019
0.312665,0.008026
0.312777,0.010032
0.312899,0.012039
0.313009,0.014045
0.313111,0.016052
0.313217,0.018058
0.313311,0.020065
0.313404,0.022045
0.313473,0.024052
0.31354,0.026058
0.31361,0.028065
0.313679,0.030071
0.313738,0.032078
0.313814,0.034084
0.313891,0.036091
0.313953,0.038097
0.314028,0.040103
0.314092,0.042084
0.314153,0.04409
0.314217,0.046097
0.314275,0.048103
0.314336,0.05011
0.314397,0.052116
0.314447,0.054123
0.314501,0.056129
0.314554,0.058136
0.314613,0.060142
0.314672,0.062149
0.314722,0.064129
0.314785,0.066135
0.314848,0.068142
0.314903,0.070148
0.314956,0.072155
0.315021,0.074161
0.315073,0.076168
0.315123,0.078174
0.315178,0.080181
0.31523,0.082187
0.315288,0.084167
0.31534,0.086174
0.315387,0.08818
0.315434,0.090187
0.315482,0.092193
0.31554,0.0942
0.315598,0.096206
0.315661,0.098213
0.315715,0.100219
0.315776,0.102226
0.315824,0.104206
0.315888,0.106212
0.315942,0.108219
0.316,0.110225
0.316049,0.112232
0.316106,0.114238
0.316161,0.116245
0.316217,0.118251
0.31628,0.120258
0.316345,0.122264
0.316409,0.124271
0.316471,0.126251
0.316526,0.128257
0.316579,0.130264
0.316633,0.13227
0.316692,0.134277
0.316749,0.136283
0.316805,0.13829
0.31687,0.140296
0.316938,0.142303
0.317011,0.144309
0.31708,0.146289
0.317155,0.148296
0.317218,0.150302
0.317286,0.152309
0.317355,0.154315
0.31742,0.156322
0.317488,0.158328
0.317563,0.160335
0.317631,0.162341
0.317689,0.164348
0.31776,0.166354
0.317845,0.168334
0.317928,0.170341
0.317997,0.172347
0.318077,0.174354
0.318162,0.17636
0.318246,0.178367
0.318319,0.180373
0.318398,0.18238
0.318468,0.184386
0.31853,0.186393
0.318608,0.188373
0.318688,0.190379
0.318755,0.192386
0.318836,0.194392
0.318912,0.196399
0.318982,0.198405
0.319058,0.200412
0.319145,0.202418
0.319243,0.204425
0.319342,0.206431
0.319442,0.208411
0.319522,0.210418
0.319608,0.212424
0.319683,0.214431
0.319784,0.216437
0.319866,0.218444
0.319957,0.22045
